a,ɥʕ
ai,ɥʕʊ
am,ɥʕʄ
an,ɥʕʇ
ang,ɥʕʌ
anh,ɥʕʉ
ao,ɥʕʅ
au,ɥʖʅ
ay,ɥʖʊ
ba,ɥɫʕ
bai,ɥɫʕʊ
bam,ɥɫʕʄ
ban,ɥɫʕʇ
bang,ɥɫʕʌ
banh,ɥɫʕʉ
bao,ɥɫʕʅ
bau,ɥɫʖʅ
bay,ɥɫʖʊ
be,ɥɫʔ
bem,ɥɫʔʄ
ben,ɥɫʔʇ
beng,ɥɫʔʌ
beo,ɥɫʔʅ
bi,ɥɫʍ
bia,ɥɫʘ
bim,ɥɫʍʄ
bin,ɥɫʍʇ
binh,ɥɫʍʉ
biu,ɥɫʍʅ
biêm,ɥɫʘʄ
biên,ɥɫʘʇ
biêng,ɥɫʘʌ
biêu,ɥɫʘʅ
biếc,ɦɫʘʋ
biếm,ɦɫʘʄ
biến,ɦɫʘʇ
biếng,ɦɫʘʌ
biếp,ɦɫʍʐʃ
biết,ɦɫʘʆ
biếu,ɦɫʘʅ
biềm,ɧɫʘʄ
biền,ɧɫʘʇ
biềng,ɧɫʘʌ
biều,ɧɫʘʅ
biểm,ɨɫʘʄ
biển,ɨɫʘʇ
biểng,ɨɫʘʌ
biểu,ɨɫʘʅ
biễm,ɩɫʘʄ
biễn,ɩɫʘʇ
biễng,ɩɫʘʌ
biễu,ɩɫʘʅ
biệc,ɪɫʘʋ
biệm,ɪɫʘʄ
biện,ɪɫʘʇ
biệng,ɪɫʘʌ
biệp,ɪɫʍʐʃ
biệt,ɪɫʘʆ
biệu,ɪɫʘʅ
bo,ɥɫʗ
boa,ɥɫɮʕ
boai,ɥɫɮʕʊ
boam,ɥɫɮʕʄ
boan,ɥɫɮʕʇ
boang,ɥɫɮʕʌ
boanh,ɥɫɮʕʉ
boao,ɥɫɮʕʅ
boay,ɥɫɮʖʊ
boe,ɥɫɮʔ
boem,ɥɫɮʔʄ
boen,ɥɫɮʔʇ
boeo,ɥɫɮʔʅ
boi,ɥɫʗʊ
bom,ɥɫʗʄ
bon,ɥɫʗʇ
bong,ɥɫʗʌ
boong,boong
boà,ɧɫɮʕ
boài,ɧɫɮʕʊ
boàm,ɧɫɮʕʄ
boàn,ɧɫɮʕʇ
boàng,ɧɫɮʕʌ
boành,ɧɫɮʕʉ
boào,ɧɫɮʕʅ
boày,ɧɫɮʖʊ
boá,ɦɫɮʕ
boác,ɦɫɮʕʋ
boách,ɦɫɮʕʈ
boái,ɦɫɮʕʊ
boám,ɦɫɮʕʄ
boán,ɦɫɮʕʇ
boáng,ɦɫɮʕʌ
boánh,ɦɫɮʕʉ
boáo,ɦɫɮʕʅ
boáp,ɦɫɮʕʃ
boát,ɦɫɮʕʆ
boáy,ɦɫɮʖʊ
boã,ɩɫɮʕ
boãi,ɩɫɮʕʊ
boãm,ɩɫɮʕʄ
boãn,ɩɫɮʕʇ
boãng,ɩɫɮʕʌ
boãnh,ɩɫɮʕʉ
boão,ɩɫɮʕʅ
boãy,ɩɫɮʖʊ
boè,ɧɫɮʔ
boèm,ɧɫɮʔʄ
boèn,ɧɫɮʔʇ
boèo,ɧɫɮʔʅ
boé,ɦɫɮʔ
boém,ɦɫɮʔʄ
boén,ɦɫɮʔʇ
boéo,ɦɫɮʔʅ
boét,ɦɫɮʔʆ
boòng,boòng
boóc,boóc
boóng,boóng
boõng,boõng
boăm,ɥɫɮʖʄ
boăn,ɥɫɮʖʇ
boăng,ɥɫɮʖʌ
boạ,ɪɫɮʕ
boạc,ɪɫɮʕʋ
boạch,ɪɫɮʕʈ
boại,ɪɫɮʕʊ
boạm,ɪɫɮʕʄ
boạn,ɪɫɮʕʇ
boạng,ɪɫɮʕʌ
boạnh,ɪɫɮʕʉ
boạo,ɪɫɮʕʅ
boạp,ɪɫɮʕʃ
boạt,ɪɫɮʕʆ
boạy,ɪɫɮʖʊ
boả,ɨɫɮʕ
boải,ɨɫɮʕʊ
boảm,ɨɫɮʕʄ
boản,ɨɫɮʕʇ
boảng,ɨɫɮʕʌ
boảnh,ɨɫɮʕʉ
boảo,ɨɫɮʕʅ
boảy,ɨɫɮʖʊ
boắc,ɦɫɮʖʋ
boắm,ɦɫɮʖʄ
boắn,ɦɫɮʖʇ
boắng,ɦɫɮʖʌ
boắt,ɦɫɮʖʆ
boằm,ɧɫɮʖʄ
boằn,ɧɫɮʖʇ
boằng,ɧɫɮʖʌ
boẳm,ɨɫɮʖʄ
boẳn,ɨɫɮʖʇ
boẳng,ɨɫɮʖʌ
boẵm,ɩɫɮʖʄ
boẵn,ɩɫɮʖʇ
boẵng,ɩɫɮʖʌ
boặc,ɪɫɮʖʋ
boặm,ɪɫɮʖʄ
boặn,ɪɫɮʖʇ
boặng,ɪɫɮʖʌ
boặt,ɪɫɮʖʆ
boẹ,ɪɫɮʔ
boẹm,ɪɫɮʔʄ
boẹn,ɪɫɮʔʇ
boẹo,ɪɫɮʔʅ
boẹt,ɪɫɮʔʆ
boẻ,ɨɫɮʔ
boẻm,ɨɫɮʔʄ
boẻn,ɨɫɮʔʇ
boẻo,ɨɫɮʔʅ
boẽ,ɩɫɮʔ
boẽm,ɩɫɮʔʄ
boẽn,ɩɫɮʔʇ
boẽo,ɩɫɮʔʅ
boọc,boọc
boọng,boọng
boỏng,boỏng
bu,ɥɫʏ
bua,ɥɫʚ
